cricos_code,institution_name,website_url,phone_number,email,status
00129E,Ballarat and Queen's Anglican Grammar School,www.bgs.vic.edu.au,+61353380700,headmaster@bgs.vic.edu.au,Success (Website)
00131M,Billanook College Limited,www.billanook.vic.edu.au,+61397255388,contact@billanook.vic.edu.au,Success (Website)
00132K,Brighton Grammar School,http://www.brightongrammar.vic.edu.au/,61385912200,admin@brightongrammar.vic.edu.au,Success (Website)
00134G,Education Institution Search,http://www.cgs.vic.edu.au/,+61398351777,admissions@cgs.vic.edu.au,Success (Website)
00135G,Carey Baptist Grammar School Limited,www.carey.com.au,+61398161222,main.reception@carey.com.au,Success (Website)
00136F,Caulfield Grammar School,http://www.caulfieldgs.vic.edu.au/,0395246262,AshleighMartin@caulfieldgs.vic.edu.au,Success (Website)
00138D,Eltham College,http://www.elthamcollege.vic.edu.au/,+61394371421,eltham@elthamcollege.vic.edu.au,Success (Website)
00139C,Fintona Girls School,http://www.fintona.vic.edu.au/,+61398301388,fgs@fintona.vic.edu.au,Success (Website)
00140K,Firbank Grammar School,www.firbank.vic.edu.au,0395915188,jwilliams@firbank.vic.edu.au,Success (Website)
00141J,Camberwell Anglican Girls' Grammar School,www.cggs.vic.edu.au,98131166,principal@cggs.vic.edu.au,Success (CRICOS Fallback)
00142G,The Geelong College,http://www.geelongcollege.vic.edu.au/,61352263111,info@geelongcollege.vic.edu.au,Success (Website)
00143G,Geelong Grammar School,www.ggs.vic.edu.au,0352739247,principal@ggs.vic.edu.au,Success (Website)
00144F,The Hamilton and Alexandra College,http://www.hamiltoncollege.vic.edu.au/,61355721355,reception@hamiltoncollege.vic.edu.au,Success (Website)
00145E,Huntingtower School Association,http://www.huntingtower.vic.edu.au/,039807888,smchristensen@huntingtower.vic.edu.au,Success (CRICOS Fallback)
00147C,The Ivanhoe Grammar School,http://www.ivanhoe.com.au,94903501,info@ivanhoe.com.au,Success (Website)
00149A,Kilvington Grammar School Limited,http://www.kilvington.vic.edu.au/,0395786231,enquiries@kilvington.vic.edu.au,Success (Website)
00150G,Kingswood College Limited,www.kingswoodcollege.vic.edu.au,+610398961700,reception@kingswoodcollege.vic.edu.au,Success (Website)
00151G,The Knox School Limited,http://www.knox.vic.edu.au/,+61388053800,reception@knox.vic.edu.au,Success (Website)
00152F,Lauriston Girls' School,http://lauriston.vic.edu.au/,+61398647555,admissions@lauriston.vic.edu.au,Success (Website)
00161E,Kent Institute Australia Pty Ltd,https://kent.edu.au/important-dates/,61290935151,info@kent.edu.au,Success (Website)
00172B,Mercury Colleges Pty. Limited,www.mercurycolleges.nsw.edu.au,+61282111128,info@mercurycolleges.nsw.edu.au,Success (Website)
00181A,Lan-Grove Office Training Centre Pty Ltd,www.sbta.com.au,0292122522,info@sbta.com.au,Success (Website)
00197D,Acknowledge Education Pty Ltd,https://www.acknowledgeeducation.edu.au/,0396633399,craig.jones@ae.edu.au,Success (Website)
00202A,Cairns Business College Limited,www.cbcaustralia.com,0421775989,phil.nyssen@vitaecapital.com.au,Success (Website)
00212K,University of Canberra,https://www.canberra.edu.au,0262015871,Michelle.Lincoln@canberra.edu.au,Success (Website)
00213J,Queensland University of Technology (QUT),https://www.qut.edu.au/about,0731388086,vc@qut.edu.au,Success (CRICOS Fallback)
00219C,Central Queensland University,www.cqu.edu.au,61749309000,vp-research@cqu.edu.au,Success (Website)
00231G,Australian College of Natural Medicine Pty Ltd,www.endeavour.edu.au,1300462887,qualityfeedbackmonitor@endeavour.edu.au,Success (Website)
00233E,Griffith University,www.griffith.edu.au,0737355447,liz.burd@griffith.edu.au,Success (CRICOS Fallback)
00244B,University of Southern Queensland,http://www.usq.edu.au/study/international,1800007252,support@unisq.edu.au,Success (Website)
00246M,Think: Colleges Pty Ltd,www.think.edu.au,1300575803,futurestudents@torrens.edu.au,Success (Website)
00279B,Edith Cowan University,www.ecu.edu.au,0863045885,j.garman@ecu.edu.au,Success (CRICOS Fallback)
00300K,Charles Darwin University (CDU),www.cdu.edu.au,1800061963,student.central@cdu.edu.au,Success (Website)
00301J,Curtin University,www.curtin.edu.au,1300222888,access.ability@curtin.edu.au,Success (Website)
00322D,Melbourne Girls Grammar - An Anglican School,www.mggs.vic.edu.au,+61398629200,Principal@mggs.vic.edu.au,Success (Website)
00324B,Mentone Girls Grammar School,www.mentonegirls.vic.edu.au,+61395811200,info@mentonegirls.vic.edu.au,Success (Website)
00325A,Methodist Ladies' College Limited,www.mlc.vic.edu.au,+61392746333,college@mlc.vic.edu.au,Success (Website)
00331C,Life Ministry Centre Limited,www.oxley.vic.edu.au,397279900,office@oxley.vic.edu.au,Success (Website)
00333A,The Peninsula School,www.tps.vic.edu.au,+61397887777,info@pgs.vic.edu.au,Success (Website)
00334M,Presbyterian Ladies' College,www.plc.vic.edu.au,+61398085811,enquiries@plc.vic.edu.au,Success (Website)
00340B,Gippsland Grammar,www.gippslandgs.vic.edu.au,0351436313,enrolments@gippslandgrammar.au,Success (Website)
00341A,King's Christian Education Ltd.,www.kingscollege.qld.edu.au,0755877600,rdavis@kingscollege.qld.edu.au,Success (Website)
00343K,St Leonard's College,www.stleonards.vic.edu.au,0399099300,Principal@stleonards.vic.edu.au,Success (CRICOS Fallback)
00344J,St Margaret's School,www.stmargarets.vic.edu.au,+61397038111,info@smbg.vic.edu.au,Success (Website)
00345G,St Michael's Grammar School,www.stmichaels.vic.edu.au,+61385303200,community@stmichaels.vic.edu.au,Success (Website)
00348E,Tintern Grammar,www.tintern.vic.edu.au,61398457777,principal@tintern.vic.edu.au,Success (Website)
00349D,Toorak College,www.toorakcollege.vic.edu.au,61397887202,reception@toorakc.vic.edu.au,Success (Website)
00350M,Trinity Grammar School Kew,www.trinity.vic.edu.au,0398543600,trinity@trinity.vic.edu.au,Success (Website)
00354G,Wesley College Melbourne,www.wesleycollege.edu.au/,0418755294,nick.evans@wesleycollege.edu.au,Success (CRICOS Fallback)
00355F,Westbourne Grammar School,www.westbournegrammar.com,03209731209444,info@westbourne.vic.edu.au,Success (Website)
00356E,Yarra Valley Grammar School,www.yvg.vic.edu.au,+61392627700,reception@yvg.vic.edu.au,Success (Website)
00360J,Concordia College Inc,www.concordia.sa.edu.au,+61882714299,sjmail@concordia.sa.edu.au,Success (Website)
00362G,Immanuel College,www.immanuel.sa.edu.au,0883751700,johnthompson@immanuel.sa.edu.au,Success (CRICOS Fallback)
00365D,Mercedes College Springfield,www.mercedes.catholic.edu.au,+61883723200,mercedes@mercedes.catholic.edu.au,Success (Website)
00366C,Muirden Senior Secondary College,www.muirden.sa.edu.au,0882124342,muirden@muirden.sa.edu.au,Success (Website)
00367B,Pembroke School Inc,www.pembroke.sa.edu.au,+61883666200,enquiries@pembroke.sa.edu.au,Success (Website)
00368A,Prince Alfred College Inc,https://pac.edu.au/,0883341200,reception@pac.edu.au,Success (Website)
00369M,Pulteney Grammar School,,0882165555,principal@pulteney.sa.edu.au,Success (CRICOS Fallback)
00371F,St Aloysius College,www.sac.sa.edu.au,+61882173200,sac@sac.sa.edu.au,Success (Website)
00373D,St Peter's Collegiate Girls' School,www.stpetersgirls.sa.edu.au,+61883342200,cskewes@stpetersgirls.sa.edu.au,Success (Website)
00374C,Trinity College - North,,0885220642,david.kolpak@trinity.sa.edu.au,Success (CRICOS Fallback)
00375B,Wilderness School,www.wilderness.com.au,+61883446688,info@wilderness.com.au,Success (Website)
00379J,St Paul's International College,www.spic.nsw.edu.au,0248682211,info@spic.nsw.edu.au,Success (Website)
00380E,Ascham School Ltd,www.ascham.nsw.edu.au,+61283567000,Office@ascham.nsw.edu.au,Success (Website)
00382C,Georges River Grammar School Ltd,https://grg.nsw.edu.au/,0297257566,enquiries@grg.nsw.edu.au,Success (Website)
00399E,Knox Grammar School,www.knox.nsw.edu.au,0294870122,jamess@knox.nsw.edu.au,Success (CRICOS Fallback)
00401E,Masada College,www.masada.nsw.edu.au,0294493744,masada@staff.masada.nsw.edu.au,Success (Website)
00415K,Redeemer Baptist School Ltd,www.redeemer.nsw.edu.au,+61296306311,enquiries@redeemer.org.au,Success (Website)
00428E,Edmund Rice Education Australia Colleges Ltd,www.aquinas.wa.edu.au,0894500602,admin@aquinas.wa.edu.au,Success (Website)
00431K,Bunbury Cathedral Grammar School Inc,www.bcgs.wa.edu.au,0897226000,administration@bcgs.wa.edu.au,Success (Website)
00433G,Christ Church Grammar School Inc,www.ccgs.wa.edu.au,94421502,info@ccgs.wa.edu.au,Success (Website)
00437D,Guildford Grammar School Inc,www.ggs.wa.edu.au,+61893779222,admin@ggs.wa.edu.au,Success (Website)
00438C,The Governors of Hale School,www.hale.wa.edu.au,0893479725,headmaster@hale.wa.edu.au,Success (Website)
00441G,Methodist Ladies' College,www.mlc.wa.edu.au,+61893844000,rclarke@mlc.wa.edu.au,Success (Website)
00444E,Penrhos College,www.penrhos.wa.edu.au,+61893689500,harank@penrhos.wa.edu.au,Success (Website)
00445D,Perth College Inc,www.pc.wa.edu.au,0894712100,sarah.mcgarry@pc.wa.edu.au,Success (CRICOS Fallback)
00447B,Presbyterian Ladies College Incorporated,www.plc.wa.edu.au,0894246444,Cate.begbie@plc.wa.edu.au,Success (Website)
00449M,Scotch College,www.scotch.wa.edu.au,+61893836800,archives@scotch.wa.edu.au,Success (Website)
00451F,Mercy Education Limited,www.stbrigids.wa.edu.au,+610892904200,sbc@stbrigids.wa.edu.au,Success (Website)
00452E,St Hilda's Anglican School for Girls Inc.,www.sthildas.wa.edu.au,61892854100,sthildas@sthildas.wa.edu.au,Success (Website)
00454C,St Mary's Anglican Girls' School Inc,www.stmarys.wa.edu.au,+61893419111,stmarys@stmarys.wa.edu.au,Success (Website)
00460E,Wesley College,www.wesley.wa.edu.au,+61893688000,centralreception@wesley.wa.edu.au,Success (Website)
00463B,Canning College,www.canningcollege.wa.edu.au,+61892783500,leila.bothams@education.wa.edu.au,Success (Website)
00466K,St John's Catholic College,,0889822222,cameron.hughes@nt.catholic.edu.au,Success (CRICOS Fallback)
00477G,The Friends' School Incorporated,www.friends.tas.edu.au,+61362102200,enquiries@friends.tas.edu.au,Success (Website)
00478F,HUTCHINS SCHOOL BOARD OF MANAGEMENT,www.hutchins.tas.edu.au,+61362214200,Emma.Griffiths@hutchins.tas.edu.au,Success (Website)
00482K,ST MICHAEL'S COLLEGIATE SCHOOL,www.collegiate.tas.edu.au,+61203206211204911,collegiate@collegiate.tas.edu.au,Success (Website)
00487E,The Corporation of the Synod of the Diocese of Brisbane,,0738962201,alan.campbell@churchie.com.au,Success (CRICOS Fallback)
00488D,Blackheath and Thornburgh College,www.btc.qld.edu.au,0747875100,enquiries@btc.qld.edu.au,Success (Website)
00489C,Board of Trustees of the Brisbane Grammar School,www.brisbanegrammar.com,+61738345200,Anthony.Micallef@brisbanegrammar.com,Success (Website)
00491J,The Presbyterian and Methodist Schools Association,,0733093512,Headmaster_EO@bbc.qld.edu.au,Success (CRICOS Fallback)
00494F,Downlands College Ltd,,0746909609,principal@downlands.qld.edu.au,Success (CRICOS Fallback)
00496D,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,,0746888801,lowrye@glennie.qld.edu.au,Success (CRICOS Fallback)
00499A,Board of Trustees of the Ipswich Grammar School,www.ipswichgrammar.com,0738139600,aforsyth@ipswichgrammar.com,Success (Website)
00500B,John Paul College Limited,,0738263302,cmerritt@jpc.qld.edu.au,Success (CRICOS Fallback)
00503K,Lourdes Hill College,www.lhc.qld.edu.au,0733998888,admin@lhc.qld.edu.au,Success (Website)
00506G,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,www.tccr.com.au,0749991300,tccr@tccr.com.au,Success (Website)
00507F,Board of Trustees of the Rockhampton Grammar School,www.rgs.qld.edu.au,0749360700,pmoulds@rgs.qld.edu.au,Success (Website)
00508E,Board of the Trustees of the Rockhampton Girls' Grammar School,www.rggs.qld.edu.au,0749300900,enrolments@rggs.qld.edu.au,Success (Website)
00509D,The Roman Catholic Trust Corporation for the Diocese of Cairns,www.sac.qld.edu.au,+61740529111,sac.admin@cns.catholic.edu.au,Success (Website)
00510M,The Corporation of the Synod of the Diocese of Brisbane - St Hilda's School,,0755777205,vwarner@sthildas.qld.edu.au,Success (CRICOS Fallback)
00511K,St Margaret's School Council Ltd,www.stmagarets.qld.edu.au,0738620777,rcurtis@stmargarets.qld.edu.au,Success (CRICOS Fallback)
00515F,The Corporation of the Synod of the Diocese of Brisbane,www.stpauls.qld.edu.au,61732611388,j.osw@stpauls.qld.edu.au,Success (Website)
00516E,Lutheran Church of Australia - Queensland District,www.stpeters.qld.edu.au,+61733776222,receptions@stpeters.qld.edu.au,Success (Website)
00517D,Education Institution Search,www.ssctwb.catholic.edu.au,,,Success (Website)
00521G,Somerset College Limited,www.somerset.qld.edu.au,0755597100,mail@somerset.qld.edu.au,Success (Website)
00522G,The Presbyterian and Methodist Schools Association,www.somerville.qld.edu.au,+61732489200,admin@somerville.qld.edu.au,Success (Website)
00523F,The Corporation of the Synod of the Diocese of Brisbane,www.tss.qld.edu.au,0755319911,reception@tss.qld.edu.au,Success (Website)
00524E,Stuartholme School,www.stuartholme.com,61733695466,admin@stuartholme.com,Success (Website)
00525D,Board of Trustees of the Toowoomba Grammar School,www.twgs.qld.edu.au,0746872500,tgs@twgs.qld.edu.au,Success (Website)
00533D,Board of Trustees of the Ipswich Girls' Grammar School,www.iggs.qld.edu.au,20+61207203454204447,reception@iggs.qld.edu.au,Success (Website)
00537M,The Uniting Church in Australia Property Trust (Q.),www.scotspgc.qld.edu.au,+61746669811,postbox@scotspgc.com.au,Success (Website)
00539J,Christian Outreach Centre,www.suncoastcc.qld.edu.au,0754513600,gmattiske@suncoastcc.qld.edu.au,Success (Website)
00540E,Bethel Christian School Limited,www.bethel.nsw.edu.au,0296254949,admin@bethel.nsw.edu.au,Success (Website)
00544A,Kinross Wolaroi School,www.kws.nsw.edu.au,0263920300,reception@kws.nsw.edu.au,Success (Website)
00553M,Education Institution Search,www.spcc.nsw.edu.au,0240628000,,Success (Website)
00557G,Ballarat and Clarendon College,,0353308200,bourke@clarendon.vic.edu.au,Success (CRICOS Fallback)
00558F,Loyola College,www.loyola.vic.edu.au,+61394344466,office@loyola.vic.edu.au,Success (Website)
00561M,Educational Enterprises Australia Pty Ltd,www.eynesbury.navitas.com,+61883022021,eynesbury@navitas.com,Success (Website)
00563J,Walford Anglican School for Girls,walford.net.au,0882726555,dnetolicky@walford.asn.au,Success (Website)
00564G,Board of Trustees of the Townsville Grammar School,www.tgs.qld.edu.au,47224900,tgs@tgs.qld.edu.au,Success (Website)
00572G,Edmund Rice Education Australia Colleges Ltd,www.nudgee.com,0738650555,contact@nudgee.com,Success (Website)
00574F,St. Catherine's School,www.stcatherines.net.au,+61398221285,info@stcatherines.net.au,Success (Website)
00577C,Strathcona Baptist Girls Grammar School Limited,www.strathcona.vic.edu.au,+61387797500,admin@strathcona.vic.edu.au,Success (Website)
00578B,Heathdale Christian College Limited,www.heathdale.vic.edu.au,0387463100,heathdale@heathdale.vic.edu.au,Success (Website)
00580G,Canberra Grammar School,www.cgs.act.edu.au,61262609700,info@cgs.act.edu.au,Success (Website)
00581G,Lutheran Church of Australia - Queensland District,,0746882700,Anton.Prinsloo@concordia.qld.edu.au,Success (CRICOS Fallback)
00586B,University of Tasmania (UTas),https://utas.edu.au/international,0362262098,Kate.Lee@utas.edu.au,Success (CRICOS Fallback)
00588M,NSW Department of Education,www.deinternational.nsw.edu.au,61292445555,isc@det.nsw.edu.au,Success (CRICOS Fallback)
00591E,Technical and Further Education Commission,https://www.tafensw.edu.au/international,+61279208888,chloe.read8@tafensw.edu.au,Success (Website)
00602G,Westminster School Inc,www.westminster.sa.edu.au,+61882760276,ws@westminster.school,Success (Website)
00603F,Saint Ignatius' College,www.ignatius.sa.edu.au,0881307180,admin@ignatius.sa.edu.au,Success (Website)
00608A,Department of Education,www.eqi.com.au,1800316540,EQInternational@qed.qld.gov.au,Success (Website)
00615B,Scotch College,www.scotch.sa.edu.au,0402715888,principal@scotch.sa.edu.au,Success (Website)
00617M,Monivae College,www.monivae.com.au,0355511245,jrowe@monivae.vic.edu.au,Success (CRICOS Fallback)
00624A,Scotch College,www.scotch.vic.edu.au,0398104200,Scott.Marsh@scotch.vic.edu.au,Success (CRICOS Fallback)
00628G,Seymour College Inc,www.seymour.sa.edu.au,0883039000,vbrowning@seymour.sa.edu.au,Success (CRICOS Fallback)
00629G,Loreto College,www.loreto.sa.edu.au,+61883344200,info@loreto.sa.edu.au,Success (Website)
00643J,ACT Education Directorate,,610262059242,Cathy.Crook@act.gov.au,Success (CRICOS Fallback)
00649C,Haileybury,www.haileybury.vic.edu.au,(03) 9213 2222,derekscott@haileybury.vic.edu.au,Success (CRICOS Fallback)
00650K,LAUNCESTON CHURCH GRAMMAR SCHOOL,www.lcgs.tas.edu.au,+61363365900,junior@lcgs.tas.edu.au,Success (Website)
00670F,Marist Schools Australia Limited,www.marash.qld.edu.au,+61738584555,marist@marash.qld.edu.au,Success (Website)
00712A,The Corporation of the Synod of the Diocese of Brisbane,www.taschool.qld.edu.au,0746398111,njohnstone@taschool.qld.edu.au,Success (CRICOS Fallback)
00713M,SCECGS Redlands Limited,www.redlands.nsw.edu.au,+61299093133,info@www.redlands.nsw.edu.au,Success (Website)
00715J,Edmund Rice Education Australia Colleges Ltd,www.stjamescollege.qld.edu.au,+61732308600,school@stjamescollege.qld.edu.au,Success (Website)
00724G,Melbourne Polytechnic,http://www.melbournepolytechnic.edu.au/,+611300635276,shortcourses@melbournepolytechnic.edu.au,Success (Website)
00745C,Catholic Education Western Australia Limited,www.aranmore.wa.edu.au,0892015200,principal@aranmore.wa.edu.au,Success (CRICOS Fallback)
00765K,Catholic Education Western Australia Limited,www.ursulafrayne.wa.edu.au,94700900,mark.antulov@cewa.edu.au,Success (CRICOS Fallback)
00770B,Trinity Anglican School Ltd,www.tas.qld.edu.au,0740368103,psjogren@tas.qld.edu.au,Success (Website)
00772M,Sydney Church of England Grammar School Council,www.shore.nsw.edu.au,+61299232277,headmaster@shore.nsw.edu.au,Success (Website)
00780M,Department of Education and Training,www.education.nt.gov.au,0889995895,internationalservice@education.nt.gov.au,Success (CRICOS Fallback)
00861K,Department of Education,http://www.study.vic.gov.au,0370088103,linda.vaughan@education.vic.gov.au,Success (CRICOS Fallback)
00871G,MERCY EDUCATION LIMITED,www.aloysius.vic.edu.au,+61393259200,enquiry@aloysius.vic.edu.au,Success (Website)
00874E,St Joseph's College,www.stjosephs.com.au,0397582000,info@stjosephs.com.au,Success (Website)
00878A,Lutheran Church of Australia - Queensland District,www.tlc.qld.edu.au,0755568336,tala.aufai@tlc.qld.edu.au,Success (Website)
00881F,Chisholm Institute,http://chisholm.edu.au,0392388407,peter.b.smith@chisholm.edu.au,Success (Website)
00897J,The Pittwater House Schools Ltd,www.pittwaterhouse.com.au,+61299814400,principal@tphs.nsw.edu.au,Success (Website)
00898G,Holmes Commercial Colleges (Melbourne) Limited,www.holmesinstitute.edu.au,0396622055,dmustafa@holmes.edu.au,Success (CRICOS Fallback)
00902F,A B Paterson College Limited,www.abpat.qld.edu.au,+61755947947,abpat@abpat.qld.edu.au,Success (Website)
00917K,Western Sydney University,https://www.westernsydney.edu.au/,1300668370,study@westernsydney.edu.au,Success (Website)
00923A,Redlands College Ltd,www.redlands.qld.edu.au,+61732860222,mail@redlands.qld.edu.au,Success (Website)
00958A,Alphacrucis University College Limited,http://ac.edu.au,1300228355,info@ac.edu.au,Success (Website)
00959M,The Cathedral School of St Anne and St James,www.cathedral.qld.edu.au,0747222000,tcs@cathedral.qld.edu.au,Success (Website)
00972C,Edmund Rice Education Australia Colleges Ltd,www.slc.qld.edu.au,0730101111,blowrie@slc.qld.edu.au,Success (Website)
00974A,The Ivanhoe Girls Grammar School,www.ivanhoegirls.vic.edu.au,+61394906222,enquiries@ivanhoegirls.vic.edu.au,Success (Website)
00977J,Melbourne Grammar School,www.mgs.vic.edu.au,+61398657555,pmgrutzner@mgs.vic.edu.au,Success (Website)
00978G,Seventh-Day Adventist Schools (Victoria) Limited,www.gilsoncollege.vic.edu.au,0393659365,admin.th@gilson.vic.edu.au,Success (Website)
00979G,All Saints Anglican School Limited,www.asas.qld.edu.au,0755302855,enquiries@asas.qld.edu.au,Success (Website)
00986G,Perth Bible College (Inc),www.pbc.wa.edu.au,0892432000,syoung@pbc.wa.edu.au,Success (Website)
00992K,Australian Islamic College (Perth) Inc,www.aic.wa.edu.au,0883407799,info@aic.wa.edu.au,Success (Website)
00993J,Whitsunday Anglican School Limited,www.was.qld.edu.au,+61749692000,principal@was.qld.edu.au,Success (Website)
00996F,Christian Outreach Centre,www.citipointe.qld.edu.au,+61735552701,mail@citipointe.qld.edu.au,Success (Website)
01016F,Christian Heritage College,www.chc.edu.au,+61733477900,cmurison@chc.edu.au,Success (Website)
01020K,UNSW Global Pty Limited,www.unswcollege.edu.au,1800171839,info@auscam.academy,Success (Website)
01022G,Korowa Anglican Girls School,www.korowa.vic.edu.au,+61388088888,fbooth@korowa.vic.edu.au,Success (Website)
01032F,The University of Notre Dame Australia,https://www.notredame.edu.au/,0282044157,David.Sadler@nd.edu.au,Success (CRICOS Fallback)
01043C,Hillcrest Christian College Limited,www.hillcrest.qld.edu.au,20+61207205593204226,jdavis@hillcrest.qld.edu.au,Success (Website)
01095B,Mueller College Ltd,www.mueller.qld.edu.au,0738972990,p.valese@mueller.qld.edu.au,Success (Website)
01097M,Nazareth College,www.nazareth.vic.edu.au,0397958100,Sam.Cosentino@nazareth.vic.edu.au,Success (CRICOS Fallback)
01100K,Girton Grammar School Ltd,www.girton.vic.edu.au,0354413114,reception@girton.vic.edu.au,Success (Website)
01102G,St Dominic's Priory College,https://stdominics.sa.edu.au/,0883315100,hsteele@stdominics.sa.edu.au,Success (Website)
01194K,St Aidan's School Council Ltd,www.staidans.qld.edu.au,+61733735999,reception@staidans.qld.edu.au,Success (Website)
01218G,Bendigo Kangan Institute,www.kangan.edu.au,1800148848,admissions@kangan.edu.au,Success (Website)
01220B,Mackillop Catholic Regional College,www.mackillop.vic.edu.au,0387345200,enquiries@mackillop.vic.edu.au,Success (Website)
01241G,Southern Cross University (SCU),https://www.scu.edu.au/,1800724357,enquiry@scu.edu.au,Success (Website)
01248A,Rivermount Education Ltd,www.rivermount.net,0732870000,enrolments@rivermount.qld.edu.au,Success (Website)
01260E,Lutheran Church of Australia Queensland District,www.plc.qld.edu.au,+61740399000,admin@plc.qld.edu.au,Success (Website)
01294F,Canberra Girls' Grammar School,www.cggs.act.edu.au,0262026404,principal@cggs.act.edu.au,Success (CRICOS Fallback)
01312J,Edith Cowan College Pty Ltd,www.edithcowancollege.edu.au,+61862791100,info@ecc.edu.au,Success (Website)
01317D,The Corporation of the Synod of the Diocese of Brisbane,www.stlukes.qld.edu.au,0741327555,matthew-hughes@stlukes.qld.edu.au,Success (Website)
01328A,ACAP University College,www.acap.edu.au,1800039139,joseph.anthonysz@navitas.com,Success (Website)
01329M,The Corporation of the Synod of the Diocese of Brisbane,www.wmac.com.au,0738134555,info@wmac.com.au,Success (Website)
01331F,Young Rabbit Pty Ltd,www.apc.edu.au,0414700777,dyoo@apc.edu.au,Success (Website)
01376D,Alphington Grammar School,www.alphington.vic.edu.au,0394974777,info@ags.vic.edu.au,Success (Website)
01378B,Education Institution Search,northpine.adventistconnect.org,,,Success (CRICOS Fallback)
01406C,FSAC Ltd,www.stjohnsanglicancollege.com.au,+61733720888,info@sjac.qld.edu.au,Success (Website)
01434K,Caloundra Christian College Limited,www.calcc.qld.edu.au,0754366777,enrolments@calcc.qld.edu.au,Success (Website)
