cricos_code,institution_name,website_url,phone_number,email
00496D,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,,0746888801,lowrye@glennie.qld.edu.au
00499A,Board of Trustees of the Ipswich Grammar School,http://www.ipswichgrammar.com,0738139601,aforsyth@ipswichgrammar.com
00500B,John Paul College Limited,,0738263302,cmerritt@jpc.qld.edu.au
00503K,Lourdes Hill College,http://www.lhc.qld.edu.au,0733998888,kgl@lhc.qld.edu.au
00506G,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,http://www.tccr.com.au,0749991300,finance@tccr.com.au
00507F,Board of Trustees of the Rockhampton Grammar School,http://www.rgs.qld.edu.au,0749360615,pmoulds@rgs.qld.edu.au
00508E,Board of the Trustees of the Rockhampton Girls' Grammar School,http://www.rggs.qld.edu.au,0749300913,karakrehlik@rggs.qld.edu.au
00509D,The Roman Catholic Trust Corporation for the Diocese of Cairns,http://www.sac.qld.edu.au,0740529111,gseivers@cns.catholic.edu.au
00510M,The Corporation of the Synod of the Diocese of Brisbane - St Hilda's School,,0755777205,vwarner@sthildas.qld.edu.au
00511K,St Margaret's School Council Ltd,http://www.stmagarets.qld.edu.au,0738620777,rcurtis@stmargarets.qld.edu.au
00515F,The Corporation of the Synod of the Diocese of Brisbane,http://www.stpauls.qld.edu.au,0732611388,j.osw@stpauls.qld.edu.au
00516E,Lutheran Church of Australia - Queensland District,http://www.stpeters.qld.edu.au,0733776222,t.kotzur@stpeters.qld.edu.au
00517D,Education Institution Search,www.ssctwb.catholic.edu.au,,
00521G,Somerset College Limited,http://www.somerset.qld.edu.au,0439247472,civey@somerset.qld.edu.au
00522G,The Presbyterian and Methodist Schools Association,http://www.somerville.qld.edu.au,0732489212,DJPriest@somerville.qld.edu.au
00523F,The Corporation of the Synod of the Diocese of Brisbane,http://www.tss.qld.edu.au,0755319911,Mark.McFie@tss.qld.edu.au
00524E,Stuartholme School,http://www.stuartholme.com,0733695466,dcrump@stuartholme.com
00525D,Board of Trustees of the Toowoomba Grammar School,http://www.twgs.qld.edu.au,0746872517,j.payne@twgs.qld.edu.au
00533D,Board of Trustees of the Ipswich Girls' Grammar School,http://www.iggs.qld.edu.au,0734544447,kthompson@iggs.qld.edu.au
00537M,The Uniting Church in Australia Property Trust (Q.),http://www.scotspgc.qld.edu.au,0746669811,Amy.woodgate@scotspgc.com.au
00539J,Christian Outreach Centre,http://www.suncoastcc.qld.edu.au,0754513600,gmattiske@suncoastcc.qld.edu.au
00540E,Bethel Christian School Limited,http://www.bethel.nsw.edu.au,0296254949,aplichta@bethel.nsw.edu.au
00544A,Kinross Wolaroi School,http://www.kws.nsw.edu.au,0263920300,tjk@kws.nsw.edu.au
00553M,Education Institution Search,www.spcc.nsw.edu.au,,
00557G,Ballarat and Clarendon College,,0353308200,bourke@clarendon.vic.edu.au
00558F,Loyola College,http://www.loyola.vic.edu.au,0394330225,leutchforda@loyola.vic.edu.au
00561M,Educational Enterprises Australia Pty Ltd,http://www.eynesbury.navitas.com,0882169132,lynne.hoffmeister@navitas.com
00563J,Walford Anglican School for Girls,http://walford.net.au,0882726555,dnetolicky@walford.asn.au
00564G,Board of Trustees of the Townsville Grammar School,http://www.tgs.qld.edu.au,0747224900,Connor.Barrett@tgs.qld.edu.au
00572G,Edmund Rice Education Australia Colleges Ltd,http://www.nudgee.com,0738650401,sth@nudgee.qld.edu.au
00574F,St. Catherine's School,http://www.stcatherines.net.au,0398221285,ncharles@stcatherines.net.au
00577C,Strathcona Baptist Girls Grammar School Limited,http://www.strathcona.vic.edu.au,87797500,lbeegan@strathcona.vic.edu.au
00578B,Heathdale Christian College Limited,http://www.heathdale.vic.edu.au,0397491522,heathdale@heathdale.vic.edu.au
00580G,Canberra Grammar School,http://www.cgs.act.edu.au,0262609700,head@cgs.act.edu.au
00581G,Lutheran Church of Australia - Queensland District,,0746882700,Anton.Prinsloo@concordia.qld.edu.au
00586B,University of Tasmania (UTas),http://www.utas.edu.au/international,0362262098,Kate.Lee@utas.edu.au
00588M,NSW Department of Education,http://www.deinternational.nsw.edu.au,61292445555,isc@det.nsw.edu.au
00591E,Technical and Further Education Commission,https://www.tafensw.edu.au/international,79208022,chloe.read8@tafensw.edu.au
00602G,Westminster School Inc,http://www.westminster.sa.edu.au,0882760276,sshepherd@westminster.sa.edu.au
00603F,Saint Ignatius' College,http://www.ignatius.sa.edu.au,0883349300,p.donato@ignatius.sa.edu.au
00608A,Department of Education,http://www.eqi.com.au,0730344586,nathan.pugliese@qed.qld.gov.au
00615B,Scotch College,http://www.scotch.sa.edu.au,0402715888,tdriver@scotch.sa.edu.au
00617M,Monivae College,http://www.monivae.com.au,0355511245,jrowe@monivae.vic.edu.au
00624A,Scotch College,http://www.scotch.vic.edu.au,0398104200,Scott.Marsh@scotch.vic.edu.au
00628G,Seymour College Inc,http://www.seymour.sa.edu.au,0883039000,vbrowning@seymour.sa.edu.au
00629G,Loreto College,http://www.loreto.sa.edu.au,0883344200,kylie.mccullah@loreto.sa.edu.au
00643J,ACT Education Directorate,,610262059242,Cathy.Crook@act.gov.au
00649C,Haileybury,http://www.haileybury.vic.edu.au,(03) 9213 2222,derekscott@haileybury.vic.edu.au
00650K,LAUNCESTON CHURCH GRAMMAR SCHOOL,http://www.lcgs.tas.edu.au,0363365900,dbennett@lcgs.tas.edu.au
00670F,Marist Schools Australia Limited,http://www.marash.qld.edu.au,0738584555,newmanm@marash.qld.edu.au
00712A,The Corporation of the Synod of the Diocese of Brisbane,http://www.taschool.qld.edu.au,0746398111,njohnstone@taschool.qld.edu.au
00713M,SCECGS Redlands Limited,http://www.redlands.nsw.edu.au,0299689802,scorcoran@redlands.nsw.edu.au
00715J,Edmund Rice Education Australia Colleges Ltd,http://www.stjamescollege.qld.edu.au,0732308600,arice@stjamescollege.qld.edu.au
00724G,Melbourne Polytechnic,http://www.melbournepolytechnic.edu.au/,610392691222,ceo@melbournepolytechnic.edu.au
00745C,Catholic Education Western Australia Limited,http://www.aranmore.wa.edu.au,0892015200,principal@aranmore.wa.edu.au
00765K,Catholic Education Western Australia Limited,http://www.ursulafrayne.wa.edu.au,94700900,mark.antulov@cewa.edu.au
00770B,Trinity Anglican School Ltd,http://www.tas.qld.edu.au,0740368103,psjogren@tas.qld.edu.au
00772M,Sydney Church of England Grammar School Council,http://www.shore.nsw.edu.au,0299561101,headmaster@shore.nsw.edu.au
00780M,Department of Education and Training,http://www.education.nt.gov.au,0889995895,internationalservice@education.nt.gov.au
00861K,Department of Education,http://www.study.vic.gov.au,0370088103,linda.vaughan@education.vic.gov.au
00871G,MERCY EDUCATION LIMITED,http://www.aloysius.vic.edu.au,0393290411,principal@aloysius.vic.edu.au
00874E,St Joseph's College,http://www.stjosephs.com.au,0397582000,principal@stjosephs.com.au
00878A,Lutheran Church of Australia - Queensland District,http://www.tlc.qld.edu.au,0755568200,laura.robbins@tlc.qld.edu.au
00881F,Chisholm Institute,http://chisholm.edu.au,0392388407,peter.b.smith@chisholm.edu.au
00897J,The Pittwater House Schools Ltd,http://www.pittwaterhouse.com.au,0299814400,principal@tphs.nsw.edu.au
00898G,Holmes Commercial Colleges (Melbourne) Limited,http://www.holmesinstitute.edu.au,0396622055,dmustafa@holmes.edu.au
00902F,A B Paterson College Limited,http://www.abpat.qld.edu.au,0755597947,jsheehy@abpat.qld.edu.au
00917K,Western Sydney University,http://www.westernsydney.edu.au,0466405403,N.Murdoch@westernsydney.edu.au
00923A,Redlands College Ltd,http://www.redlands.qld.edu.au,0732860222,ajohnson@redlands.qld.edu.au
00958A,Alphacrucis University College Limited,http://ac.edu.au,0288939067,david.perry@ac.edu.au
00959M,The Cathedral School of St Anne and St James,http://www.cathedral.qld.edu.au,0747222000,luke.baills@cathedral.qld.edu.au
00972C,Edmund Rice Education Australia Colleges Ltd,http://www.slc.qld.edu.au,0730101105,blowrie@slc.qld.edu.au
00974A,The Ivanhoe Girls Grammar School,http://www.ivanhoegirls.vic.edu.au,0394906201,principal@ivanhoegirls.vic.edu.au
00977J,Melbourne Grammar School,http://www.mgs.vic.edu.au,98657503,pmgrutzner@mgs.vic.edu.au
00978G,Seventh-Day Adventist Schools (Victoria) Limited,http://www.gilsoncollege.vic.edu.au,0393659365,raelene.delvin@gilson.vic.edu.au
00979G,All Saints Anglican School Limited,http://www.asas.qld.edu.au,0755302855,mcorbett@asas.qld.edu.au
00986G,Perth Bible College (Inc),http://www.pbc.wa.edu.au,92432000,syoung@pbc.wa.edu.au
00992K,Australian Islamic College (Perth) Inc,http://www.aic.wa.edu.au,93622100,abdullah@aic.wa.edu.au
00993J,Whitsunday Anglican School Limited,http://www.was.qld.edu.au,0749692011,principal@was.qld.edu.au
00996F,Christian Outreach Centre,http://www.citipointe.qld.edu.au,0735552700,ruthg@citipointe.qld.edu.au
01016F,Christian Heritage College,http://www.chc.edu.au,0733477981,cmurison@chc.edu.au
01020K,UNSW Global Pty Limited,http://www.unswcollege.edu.au,0289362015,S.Lightfoot@unswcollege.edu.au
01022G,Korowa Anglican Girls School,http://www.korowa.vic.edu.au,88088804,fbooth@korowa.vic.edu.au
01032F,The University of Notre Dame Australia,http://www.nd.edu.au,0282044157,David.Sadler@nd.edu.au
01043C,Hillcrest Christian College Limited,http://www.hillcrest.qld.edu.au,55934226,jdavis@hillcrest.qld.edu.au
01095B,Mueller College Ltd,http://www.mueller.qld.edu.au,0738972725,p.valese@mueller.qld.edu.au
01097M,Nazareth College,http://www.nazareth.vic.edu.au,0397958100,Sam.Cosentino@nazareth.vic.edu.au
01100K,Girton Grammar School Ltd,http://www.girton.vic.edu.au,0354413114,principal@girton.vic.edu.au
01102G,St Dominic's Priory College,https://stdominics.sa.edu.au/,0883315103,hsteele@stdominics.sa.edu.au
01194K,St Aidan's School Council Ltd,http://www.staidans.qld.edu.au,0733735999,t.riordan@staidans.qld.edu.au
01218G,Bendigo Kangan Institute,http://www.kangan.edu.au,0392792379,CEO@bendigokangan.edu.au
01220B,Mackillop Catholic Regional College,http://www.mackillop.vic.edu.au,0387345200,principal@mackillop.vic.edu.au
01241G,Southern Cross University (SCU),http://www.scu.edu.au,0266269148,apo@scu.edu.au
01248A,Rivermount Education Ltd,http://www.rivermount.net,0732870000,r.young@rivermount.net
01260E,Lutheran Church of Australia Queensland District,http://www.plc.qld.edu.au,0740399000,jeime@plc.qld.edu.au
01294F,Canberra Girls' Grammar School,http://www.cggs.act.edu.au,0262026404,principal@cggs.act.edu.au
01312J,Edith Cowan College Pty Ltd,http://www.edithcowancollege.edu.au,0862791179,amanda.peterson@edithcowancollege.edu.au
01317D,The Corporation of the Synod of the Diocese of Brisbane,http://www.stlukes.qld.edu.au,0741327512,matthew-hughes@stlukes.qld.edu.au
01328A,ACAP University College,http://www.acap.edu.au,0400181305,joseph.anthonysz@navitas.com
01329M,The Corporation of the Synod of the Diocese of Brisbane,http://www.wmac.com.au,0738134536,apeach@wmac.com.au
01331F,Young Rabbit Pty Ltd,http://www.apc.edu.au,0414700777,dyoo@apc.edu.au
01376D,Alphington Grammar School,http://www.alphington.vic.edu.au,0394974777,vn@ags.vic.edu.au
01378B,Education Institution Search,northpine.adventistconnect.org,,
01406C,FSAC Ltd,http://www.stjohnsanglicancollege.com.au,0733720165,MMcIvor@sjac.qld.edu.au
01434K,Caloundra Christian College Limited,http://www.calcc.qld.edu.au,0754366777,principal@calcc.qld.edu.au
01457C,Lutheran Church of Australia - Queensland District,http://www.immanuel.qld.edu.au,0754773444,beveridgee@immanuel.qld.edu.au
01461G,Nambour Christian College Ltd,http://www.ncc.qld.edu.au,0754513333,geoff.v@ncc.qld.edu.au
01488G,St Andrew's Grammar Inc.,http://www.sag.wa.edu.au,93033840,smacdonald@sag.wa.edu.au
01497F,Focal Holdings Pty Ltd,http://www.tibc.nsw.edu.au,0297916555,liza@tibc.nsw.edu.au
01502C,Kardinia International College (Geelong) Ltd,http://www.kardinia.vic.edu.au,61352789999,c.lockhart@kardinia.vic.edu.au
01529C,The Lake Joondalup Baptist College Inc,http://www.ljbc.wa.edu.au,0893007444,Paul.Sonneman-Smith@ljbc.wa.edu.au
01535E,The Anglican Church of Australia Collegiate School of Saint Peter,http://www.stpeters.sa.edu.au,0431043779,tbrowning@stpeters.sa.edu.au
01536D,Prescott College Southern,http://www.prescott.sa.edu.au,0883814290,isabellemillien@prescottsouthern.sa.edu.au
01545C,Melbourne Institute of Technology Pty Ltd,http://www.mit.edu.au,0386006700,austin@mit.edu.au
01576G,Sydney Institute of Business and Technology Pty Ltd,http://www.sibt.nsw.edu.au,0432675612,florian.staerk@sibt.nsw.edu.au
01577F,Australian Baptist Education Inc,http://www.qbc.wa.edu.au,08930588088,msmith@qbc.wa.edu.au
01589B,Education Institution Search,www.bedford.edu.au,,
01590J,Melbourne Institute of Business & Technology Pty Ltd,http://www.deakincollege.edu.au,0392445396,hamid.khattak@deakin.edu.au
01592G,The Corporation of the Synod of the Diocese of Brisbane - Fraser Coast Anglican College,http://www.fcac.qld.edu.au,0741245411,jwright@fcac.qld.edu.au
01595D,University of the Sunshine Coast,http://www.usc.edu.au,0754301101,vcoffice@usc.edu.au
01609C,Canterbury College Limited,http://www.canterbury.qld.edu.au,0732990831,d.walker@canterbury.qld.edu.au
01611J,Prescott College,http://www.prescott.sa.edu.au,0882691655,jtalamaivao@prescottcollege.sa.edu.au
01645K,Woodcroft College,http://www.woodcroft.sa.edu.au,0883810408,warren_s@woodcroft.sa.edu.au
01664G,Heights College Ltd,http://www.heights.qld.edu.au,0749231800,Principal@heights.qld.edu.au
01688K,Kennedy Baptist College Association Inc.,http://www.kennedy.wa.edu.au,0893147722,mashby@kennedy.wa.edu.au
01723A,Department of Education,http://www.tafeinternational.wa.edu.au,0892182151,jacqui.johnstone@dtwd.wa.gov.au
01737F,Queensland Institute of Business and Technology Pty Ltd,http://www.griffithcollege.edu.au,0755529572,angie.taras@griffithcollege.edu.au
01748C,Matthew Flinders Anglican College Limited,http://www.mfac.edu.au,0754773205,mcarroll@mfac.edu.au
01751G,Tenison Woods College,http://www.tenison.adl.catholic.edu.au,0887255455,mezid@tenison.catholic.edu.au
01774A,ASHT Pty Ltd,https://alliancecollege.edu.au/,0452178288,eva@alliancecollege.edu.au
01796F,Cambridge Academy of English Pty Ltd,http://www.cambridgeqld.com,0468554007,harry@cambridgeqld.com
01812M,Melbourne Rudolf Steiner Seminar Limited,http://steinerseminar.net.au/,0401850177,t.hungerford@steinerseminar.edu.au
